Confederation,Stadium,City,HomeTeams,Capacity,Country,IOC,Population
UEFA,Stadion Radnik,Velika Gorica,HNK Gorica,8000,Croatia,CRO,4154200
UEFA,Stadion Rujevica,Rijeka,NK Rijeka,8279,Croatia,CRO,4154200
UEFA,Stadion SRC Mladost,Čakovec,Međimurje,8000,Croatia,CRO,4154200
UEFA,Stadion ŠRC Uljanik-Veruda,Pula,-,4000,Croatia,CRO,4154200
UEFA,Stadion Stanovi,Zadar,NK Zadar,5860,Croatia,CRO,4154200
UEFA,Stadion Stjepan Spajić,Zagreb,Hrvatski dragovoljac,4500,Croatia,CRO,4154200
UEFA,Stadion Šubićevac,Šibenik,Šibenik,8500,Croatia,CRO,4154200
UEFA,Stadion u Pricviću,Žrnovnica,Mosor,3000,Croatia,CRO,4154200
UEFA,Ammóchostos,Larnaca,Néa Salamís,4000,Cyprus,CYP,1170125
UEFA,Antonis Papadopoulos,Larnaca,Anorthosis,9319,Cyprus,CYP,1170125
UEFA,Makario,Nicosia,"Ethnikos, Digenis",16440,Cyprus,CYP,1170125
UEFA,Neo GSP,Nicosia,"APOEL, Omonia, Olympiakos",22859,Cyprus,CYP,1170125
UEFA,Pafiako Athlítiko Kentro,Paphos,Pafos FC,9394,Cyprus,CYP,1170125
UEFA,Paralimni,Paralimni,Enosis Neon Paralimni,5800,Cyprus,CYP,1170125
UEFA,Tsirion Athlitiko Kentro,Limassol,"Aris, AEL, Apollon",13261,Cyprus,CYP,1170125
UEFA,Zenon Athlitiko Kentro,Larnaca,"AEK, Alki",13032,Cyprus,CYP,1170125
UEFA,Andrův Stadion,Olomouc,Sigma,12566,Czech Republic,CZE,10610947
UEFA,Chance Arena,Jablonec nad Nisou,FK Jablonec,6280,Czech Republic,CZE,10610947
UEFA,Ďolíček,Prague,Bohemians 1905,5000,Czech Republic,CZE,10610947
UEFA,Doosan Arena,Pilzno,Viktoria,11700,Czech Republic,CZE,10610947
UEFA,Eden Aréna,Prague,Slavia,21000,Czech Republic,CZE,10610947
UEFA,Generali Arena,Prague,Sparta,18944,Czech Republic,CZE,10610947
UEFA,Juliska,Prague,Dukla,4560,Czech Republic,CZE,10610947
UEFA,Letná Stadion,Zlín,FC Fastav Zlín,6375,Czech Republic,CZE,10610947
UEFA,Letní stadion,Pardubice,-,15000,Czech Republic,CZE,10610947
UEFA,Městský fotbalový stadion Srbská,Brno,Zbrojovka,10785,Czech Republic,CZE,10610947
UEFA,Městský stadion,Karvina,MFK Karviná,4833,Czech Republic,CZE,10610947
UEFA,Mestsky Stadion Liberec,Liberec,FC Slovan Liberec,7000,Czech Republic,CZE,10610947
UEFA,Městský stadion Mladá Boleslav,Mladá Boleslav,FK Mladá Boleslav,5000,Czech Republic,CZE,10610947
UEFA,Městský stadión Znojmo,Znojmo,1. SC Znojmo,5000,Czech Republic,CZE,10610947
UEFA,Na Litavce,Příbram,FK Příbram,9100,Czech Republic,CZE,10610947
UEFA,Na Stínadlech,Teplice,FK Teplice,18221,Czech Republic,CZE,10610947
UEFA,Pod Vinicí,Pardubice,FK Pardubice,3000,Czech Republic,CZE,10610947
UEFA,Stadion 1. HFK Olomouc,Olomouc,HFK Olomouc,2900,Czech Republic,CZE,10610947
UEFA,Stadion Banik Sokolov,Sokolov,Banik,5000,Czech Republic,CZE,10610947
UEFA,Stadion Dukla,Havirov,MFK Havířov,7500,Czech Republic,CZE,10610947
UEFA,Stadion Evžena Rošického,Prague,-,19032,Czech Republic,CZE,10610947
UEFA,Stadion FK Drnovice,Drnovice,FK Drnovice,6400,Czech Republic,CZE,10610947
UEFA,Stadion Františka Kloze,Kladno,SK Kladno,4000,Czech Republic,CZE,10610947
UEFA,Stadion Josefa Masopusta,Most,Siad,7500,Czech Republic,CZE,10610947
UEFA,Stadion Markéta,Prague,"Olymp, Markéta",17500,Czech Republic,CZE,10610947
UEFA,Stadion Miroslava Valenty,Uherské Hradiště,Slovácko,8121,Czech Republic,CZE,10610947
UEFA,Stadion na Střeleckém Ostrově,Czeskie Budziejowice,Dynamo,6746,Czech Republic,CZE,10610947
UEFA,Stadion na Zadních Vinohradech,Chomutov,FC Chomutov,4800,Czech Republic,CZE,10610947
UEFA,Stadion u Nisy,Liberec,FC Slovan Liberec,9900,Czech Republic,CZE,10610947
UEFA,Stadion v Jiráskově ulici,Jihlava,Vysočina,4075,Czech Republic,CZE,10610947
UEFA,Viktoria Stadion,Prague,Viktoria Žižkov,5600,Czech Republic,CZE,10610947
UEFA,Vítkovice Aréna,Ostrava,"MFK Vítkovice, Baník Ostrava",15000,Czech Republic,CZE,10610947
UEFA,Všesportovní Stadion,Hradec Králové,FC Hradec Králové,7100,Czech Republic,CZE,10610947
UEFA,Aalborg Portland Park,Aalborg,AaB,13800,Denmark,DEN,5806015
UEFA,BioNutria Park Randers,Randers,Randers FC,10300,Denmark,DEN,5806015
UEFA,Blue Water Arena,Esbjerg,Esbjerg FB,18000,Denmark,DEN,5806015
UEFA,Brøndby Stadion,Brøndby,Brøndby IF,31400,Denmark,DEN,5806015
UEFA,CASA Arena Horsens,Horsens,AC Horsens,10400,Denmark,DEN,5806015
UEFA,Ceres Park,Århus,AGF Århus,20220,Denmark,DEN,5806015
UEFA,DS Arena,Hobro,Hobro IK,10700,Denmark,DEN,5806015
UEFA,EWII Park,Odense,OB,15761,Denmark,DEN,5806015
UEFA,Gladsaxe Idrætspark,Søborg,Akademisk,12000,Denmark,DEN,5806015
UEFA,Helsingør Stadion,Helsingør,FC Helsingør,5500,Denmark,DEN,5806015
UEFA,JYSK park,Silkeborg,Silkeborg IF,10000,Denmark,DEN,5806015
UEFA,Lyngby Stadion,Lyngby,Lyngby BK,9000,Denmark,DEN,5806015
UEFA,MCH Arena,Herning,Midtjylland,11535,Denmark,DEN,5806015
UEFA,Næstved Stadion,Næstved,Næstved BK,10000,Denmark,DEN,5806015
UEFA,Right to Dream Park,Farum,Nordsjćlland,10100,Denmark,DEN,5806015
UEFA,Slagelse Stadion,Slagelse,Slagelse BK,10000,Denmark,DEN,5806015
UEFA,Sundby IP,Kopenhagen,Fremad Amager,7200,Denmark,DEN,5806015
UEFA,Sydbank Park,Haderslev,Sønderjysk,10000,Denmark,DEN,5806015
UEFA,Telia Parken,Kopenhagen,FC København,38009,Denmark,DEN,5806015
UEFA,Valby Idrætspark,Kopenhagen,Frem,12000,Denmark,DEN,5806015
CONMEBOL,Estadio Capwell,Guayaquil,Emelec,40059,Ecuador,ECU,16385068
CONMEBOL,Estadio Monumental Banco Pichincha,Guayaquil,Barcelona,59283,Ecuador,ECU,16385068
CONMEBOL,Estadio Olímpico Atahualpa,Quito,"El Nacional, Deportivo Quito",39816,Ecuador,ECU,16385068
CONMEBOL,La Casa Blanca,Quito,LDU Quito,41596,Ecuador,ECU,16385068
CAF,Borg El-Arab Stadium,Borg El-Arab,-,86000,Egypt,EGY,100124354
CAF,Cairo International Stadium,Cairo,"Zamalek, Al-Ahly",74100,Egypt,EGY,100124354
CAF,Harras El-Hedoud Stadium,Alexandria,Sawahel,22000,Egypt,EGY,100124354
CAF,Military Academy Stadium,Cairo,Al-Jaish,28500,Egypt,EGY,100124354
CAF,Mukhtar Al-Tetsh Stadium,Cairo,Al-Ahly,25000,Egypt,EGY,100124354
CAF,Port Said Stadium,Port Said,Al-Masry,17988,Egypt,EGY,100124354
UEFA,ABAX Stadium,Peterborough,Peterborough Utd,14319,England,ENG,55619400
UEFA,Abbey Business Stadium,Chaltenham,"Chaltenham Town, Gloucester City",7066,England,ENG,55619400
UEFA,Abbey Stadium,Cambridge,Cambridge United,9617,England,ENG,55619400
UEFA,Academy Stadium,Manchester,Manchester City,7000,England,ENG,55619400
UEFA,Adams Park,Wycombe,Wycombe Wanderers,10284,England,ENG,55619400
UEFA,Aggborough,Kidderminster,Harriers,6238,England,ENG,55619400
UEFA,Alexander Stadium,Birmingham,-,12700,England,ENG,55619400
UEFA,Alexandra Stadium,Crewe,Crewe Alexandra,10153,England,ENG,55619400
UEFA,Amex Stadium,Brighton & Hove,Albion,30666,England,ENG,55619400
UEFA,Anfield,Liverpool,Liverpool,53394,England,ENG,55619400
UEFA,Ashton Gate,Bristol,Bristol City,27699,England,ENG,55619400
UEFA,Banks’s Stadium,Walsall,Walsall FC,11300,England,ENG,55619400
UEFA,bet365 Stadium,Stoke-on-Trent,Stoke City,30089,England,ENG,55619400
UEFA,Bloomfield Road,Blackpool,Blackpool FC,16220,England,ENG,55619400
UEFA,Blundell Park,Grimsby,Grimsby Town,9052,England,ENG,55619400
UEFA,Boleyn Ground,London,West Ham,35345,England,ENG,55619400
UEFA,Boundary Park,Oldham,Athletic,10638,England,ENG,55619400
UEFA,Bramall Lane,Sheffield,Sheffield United,32702,England,ENG,55619400
UEFA,Bristol Memorial Stadium,Bristol,Rovers,11917,England,ENG,55619400
UEFA,Broadhurst Park,Manchester,FC United,4400,England,ENG,55619400
UEFA,Brunton Park,Carlisle,United,16980,England,ENG,55619400
UEFA,Carrow Road,Norwich,Norwich City,27033,England,ENG,55619400
UEFA,Checkatrade.com Stadium,Crawley,Crawley Town,6134,England,ENG,55619400
UEFA,City Ground,Nottingham,Nottingham Forest,30445,England,ENG,55619400
UEFA,Colchester Community Stadium,Colchester,Colchester United,10084,England,ENG,55619400
UEFA,County Ground,Swindon,Swindon Town FC,15728,England,ENG,55619400
UEFA,Craven Cottage,London,Fulham,25700,England,ENG,55619400
UEFA,Darlington Arena,Darlington,-,25000,England,ENG,55619400
UEFA,DCJ Group Insurance Arena,Matlock,Matlock Town,2757,England,ENG,55619400
UEFA,Deepdale Stadium,Preston,Preston,23404,England,ENG,55619400
UEFA,DW Stadium,Wigan,Wigan,25138,England,ENG,55619400
UEFA,Elland Road,Leeds,Leeds United,39460,England,ENG,55619400
UEFA,Emirates Stadium,London,Arsenal,59867,England,ENG,55619400
UEFA,Etihad Stadium,Manchester,Manchester City,55017,England,ENG,55619400
UEFA,Ewen Fields,Hyde,Hyde FC,4073,England,ENG,55619400
UEFA,Ewood Park,Blackburn,Blackburn Rovers,31154,England,ENG,55619400
UEFA,Fratton Park,Portsmouth,Portsmouth,20821,England,ENG,55619400
UEFA,Gigg Lane,Bury,Bury FC,11840,England,ENG,55619400
UEFA,Glanford Park,Scunthorpe,Scunthorpe United,9088,England,ENG,55619400
UEFA,Globe Arena,Morecambe,Morecambe FC,6476,England,ENG,55619400
UEFA,Goodison Park,Liverpool,Everton,39595,England,ENG,55619400
UEFA,Griffin Park,London,Brentford FC,12300,England,ENG,55619400
UEFA,Highbury Stadium,Fleetwood,Fleetwood Town,5094,England,ENG,55619400
UEFA,Hillsborough,Sheffield,Sheffield Wednesday,39812,England,ENG,55619400
UEFA,Home Park,Plymouth,Argyle,16388,England,ENG,55619400
UEFA,Huish Park,Yeovil,Yeovil Town,9665,England,ENG,55619400
UEFA,John Smith’s Stadium,Huddersfield,Huddersfield Town,24169,England,ENG,55619400
UEFA,Kassam Stadium,Oxford,Oxford United,12500,England,ENG,55619400
UEFA,KCOM Stadium,Hull,Hull City,24983,England,ENG,55619400
UEFA,Keepmoat Stadium,Doncaster,Rovers,15231,England,ENG,55619400
UEFA,Kenilworth Road,Luton,Luton Town,10226,England,ENG,55619400
UEFA,King Power Stadium,Leicester,Leicester City,32273,England,ENG,55619400
UEFA,Kingsmeadow,London,"Kingstonian, Wimbledon",4850,England,ENG,55619400
UEFA,Loftus Road,London,QPR,18000,England,ENG,55619400
UEFA,London Stadium,London,West Ham,60000,England,ENG,55619400
UEFA,Macron Stadium,Bolton,Bolton Wanderers,28723,England,ENG,55619400
UEFA,Madejski Stadium,Reading,Reading,24161,England,ENG,55619400
UEFA,Matchroom Stadium,London,Leyton Orient,9271,England,ENG,55619400
UEFA,Meadow Lane,Nottingham,Notts County,20229,England,ENG,55619400
UEFA,Merseyrail Community Stadium,Southport,Southport FC,6008,England,ENG,55619400
UEFA,Mill Farm,Medlar with Wesham,AFC Fylde,6000,England,ENG,55619400
UEFA,Molineux Stadium,Wolverhampton,Wolverhampton,32057,England,ENG,55619400
UEFA,Montgomery Waters Meadow,Shrewsbury,Shrewsbury Town,9875,England,ENG,55619400
UEFA,Moor Lane,Salford,Salford City,3339,England,ENG,55619400
UEFA,Moss Rose,Macclesfield,Macclesfield Town,6355,England,ENG,55619400
UEFA,New York AESSEAL Stadium,Rotherham,Rotherham United FC,12021,England,ENG,55619400
UEFA,Oakwell Stadium,Barnsley,Barnsley FC,23009,England,ENG,55619400
UEFA,Old Trafford,Manchester,Manchester United,74994,England,ENG,55619400
UEFA,One Call Stadium,Mansfield,Mansfield Town,9186,England,ENG,55619400
UEFA,PHB Stadium,Northfleet,Ebbsfleet United,5011,England,ENG,55619400
UEFA,Pirelli Stadium,Burton upon Trent,Burton Albion,6912,England,ENG,55619400
UEFA,Plainmoor,Torquay,Torquay United,6500,England,ENG,55619400
UEFA,Portman Road,Ipswich,Ipswich Town,30311,England,ENG,55619400
UEFA,Prenton Park,Birkenhead,Tranmere,16587,England,ENG,55619400
UEFA,Pride Park Stadium,Derby,Derby,33597,England,ENG,55619400
UEFA,Priestfield Stadium,Gillingham,Gillingham FC,11582,England,ENG,55619400
UEFA,Princes Park,Dartford,Dartford FC,4100,England,ENG,55619400
UEFA,Proact Stadium,Chesterfield,Chesterfield FC,10379,England,ENG,55619400
UEFA,Ricoh Arena,Coventry,Coventry City,32609,England,ENG,55619400
UEFA,Riverside Stadium,Middlesbrough,Middlesbrough,33746,England,ENG,55619400
UEFA,Roots Hall,Southend-on-Sea,Southend United,12392,England,ENG,55619400
UEFA,Sandygate Road,Sheffield,Hallam FC,700,England,ENG,55619400
UEFA,Selhurst Park,London,Crystal Palace,25456,England,ENG,55619400
UEFA,Sincil Bank Stadium,Lincoln,Lincoln City,10127,England,ENG,55619400
UEFA,South Kesteven Sports Stadium,Grantham,Grantham Town,7500,England,ENG,55619400
UEFA,Spotland Stadium,Rochdale,Rochdale AFC,10249,England,ENG,55619400
UEFA,St James Park,Exeter,Exeter City,8541,England,ENG,55619400
UEFA,St. Andrew’s Stadium,Birmingham,Birmingham City,30009,England,ENG,55619400
UEFA,St. James’ Park,Newcastle,Newcastle United,52354,England,ENG,55619400
UEFA,St. Mary’s Stadium,Southampton,Southampton,32384,England,ENG,55619400
UEFA,Stadium mk,Milton Keynes,Dons,30700,England,ENG,55619400
UEFA,Stadium of Light,Sunderland,Sunderland,48707,England,ENG,55619400
UEFA,Stamford Bridge,London,Chelsea,41631,England,ENG,55619400
UEFA,Swansway Chester Stadium,Chester,Chester FC,5376,England,ENG,55619400
UEFA,Tameside Stadium,Ashton-under-Lyne,Curzon Ashton,4000,England,ENG,55619400
UEFA,The Den,London,Millwall,20146,England,ENG,55619400
UEFA,The Dripping Pan,Lewes,Lewes FC,3000,England,ENG,55619400
